Sample1	F1	F2	F3	F4	F5	F6
1000.000183	-0.000973411	-0.006861669	-0.007245231	0.000199782	-0.000134741	0.001182916
998.9945068	-0.001173636	-0.006636417	-0.006808259	0.001037272	0.000896553	0.002172208
997.9881592	-0.001510766	-0.007569848	-0.007099079	0.000202035	-0.000217388	0.001884855
996.9812012	-0.001436209	-0.006810451	-0.006697291	-0.000283721	-4.98E-05	0.001499909
995.9736328	-0.001019435	-0.007452	-0.007025221	9.83E-05	-0.000187374	0.00072116
994.9654541	-0.001677738	-0.007736745	-0.007733592	0.000301158	-0.000530028	0.000976351
993.956665	-0.000890289	-0.006580225	-0.00709475	0.000463217	-1.77E-05	0.001612268
992.9472656	-0.001241733	-0.006840978	-0.007096635	6.68E-05	-9.60E-05	0.001650463
991.9372559	-0.000289102	-0.006658901	-0.006989815	0.000161429	0.00020649	0.001702747
991.0529785	-0.000309589	-0.007024559	-0.006896983	6.99E-05	0.000491205	0.001388748
990.0418091	-0.002069356	-0.007807889	-0.008510365	-0.000573461	-0.000816504	0.000626919
989.0300293	-0.00125371	-0.006117724	-0.007243806	0.00065178	0.000375172	0.001647683
988.0176392	-0.001574891	-0.007434443	-0.007839364	-0.000484522	-0.000395358	0.001049026
987.0046387	-0.000927229	-0.006952624	-0.007756986	0.000152987	-0.000457164	0.00128704
985.9910278	-0.000764309	-0.006694894	-0.008065671	0.000816278	-0.000122579	0.002034087
984.9768677	-0.000336905	-0.006877976	-0.006983345	0.000282145	0.000290512	0.002332287
983.9620361	-0.001029506	-0.006802754	-0.007710654	0.00056748	1.57E-05	0.001669355
982.9465942	-0.000229703	-0.006740468	-0.006914512	0.000836326	0.000320379	0.001770659
982.0576172	-0.001320453	-0.006794906	-0.007539931	0.000100708	-4.87E-05	0.001405732
981.0410156	-0.001218192	-0.006974175	-0.007201951	5.85E-05	-0.000281703	0.001342786
980.0238647	-0.000731232	-0.006440328	-0.007094801	0.000565433	2.02E-05	0.001613957
979.0061035	-0.001167698	-0.006554524	-0.007173231	0.000258756	-0.000141677	0.001330478
977.9877319	-0.001301355	-0.006745464	-0.007452458	6.77E-05	-0.000467663	0.001020121
976.96875	-0.000708128	-0.00609225	-0.00705986	0.001034495	0.000498306	0.00170953
975.9491577	-0.001579121	-0.006285383	-0.007329233	-2.62E-05	-0.000376633	0.001451312
975.0565796	-0.000599623	-0.006436859	-0.007352242	0.000284865	0.000325146	0.001669718
974.0358276	-0.001706772	-0.007073816	-0.007582415	-0.000289774	-0.000447752	0.00102845
973.0145264	-0.0015232	-0.00673063	-0.007638578	-0.000423702	-0.000349889	0.001224786
971.9926147	-0.001328505	-0.00620863	-0.007372705	-0.000416719	-0.000208487	0.001275565
970.9701538	-0.001314207	-0.005961694	-0.007075395	0.000606621	8.96E-05	0.001392747
969.9470215	-0.001232079	-0.006116805	-0.007125513	0.000515411	-9.29E-05	0.00142012
969.0513306	-0.000577391	-0.006289108	-0.005887438	0.000190485	0.000296314	0.001876016
968.0270996	-0.001736888	-0.007025272	-0.006141001	0.000165702	-4.32E-05	0.001329024
967.0022583	-0.000753043	-0.006153915	-0.00563347	0.000355016	3.04E-05	0.001761821
965.9768677	-0.001036479	-0.006345031	-0.006328245	0.00020996	-0.000149388	0.001850616
964.9508057	-0.001098401	-0.005668629	-0.006719568	0.000914815	0.000357037	0.001822021
964.0525513	-0.000654215	-0.006724768	-0.007195688	0.000458242	6.85E-05	0.001448325
963.0254517	-0.000757952	-0.006105778	-0.007012027	0.000532982	9.16E-05	0.001766292
961.9977417	-0.002049158	-0.006664356	-0.00731951	7.87E-05	-9.54E-05	0.000997807
960.9694214	-0.001476198	-0.006066826	-0.006895251	0.000533682	-0.000239121	0.001627494
959.9404907	-0.001362207	-0.005937437	-0.007634051	0.000108165	-0.000123614	0.001346785
959.0397339	-0.001267132	-0.006374775	-0.007165745	8.72E-06	-0.000174436	0.001486402
958.0097046	-0.001109194	-0.006663388	-0.00727807	-0.000526047	-2.97E-05	0.001493182
956.9790649	-0.001456695	-0.007011212	-0.008241419	-0.000455251	-0.000982968	0.001195868
955.947876	-0.001402925	-0.006487356	-0.007138347	0.000558357	-0.00011585	0.001282652
955.045105	-0.001334698	-0.005940705	-0.007224916	0.00025917	0.000233243	0.001549681
954.0128174	-0.001427437	-0.00643691	-0.007691479	-3.62E-05	-0.000227633	0.001224604
952.9799194	-0.001078002	-0.005957353	-0.007242227	0.000442098	-8.18E-05	0.001432872
951.9464111	-0.00106757	-0.006054114	-0.007481618	0.000354342	0.000106353	0.001278057
951.041626	-0.001318492	-0.00619781	-0.007126735	0.000213664	9.94E-05	0.00171925
950.0070801	-0.001164497	-0.006013012	-0.006879301	0.0007376	0.00021804	0.001471311
948.9719238	-0.001805928	-0.006741437	-0.007898544	-3.17E-05	-0.000405185	0.000768276
947.9361572	-0.001302181	-0.006572984	-0.007710756	0.000245209	-0.00046818	0.001128748
947.0293579	-0.001553741	-0.006209294	-0.007304849	0.001164591	6.00E-05	0.001651191
945.9925537	-0.00133604	-0.006020314	-0.00717761	0.000318799	0.000143717	0.001552513
944.9551392	-0.001336969	-0.005985592	-0.007545477	0.000879071	-1.54E-05	0.001939326
944.046875	-0.00089685	-0.005719471	-0.007034492	0.001369402	0.000209002	0.001710804
943.0083618	-0.001137595	-0.005748849	-0.007037905	0.001245164	0.000509191	0.001444481
941.9692383	-0.001517834	-0.006122625	-0.007340433	0.001013738	-0.000402496	0.00146035
941.0595703	-0.001722913	-0.005971958	-0.007412914	0.001196543	-0.000122216	0.001335126
940.0193481	-0.001431669	-0.00583212	-0.007408995	0.000821517	-0.000301933	0.001357327
938.9785767	-0.00085872	-0.005126317	-0.006753772	0.001242957	0.000336415	0.001852566
937.9372559	-0.001723119	-0.005790231	-0.007802499	0.00077424	-0.000430995	0.001166719
937.0255737	-0.001268835	-0.005502163	-0.00750584	0.000452412	2.93E-06	0.001140297
935.9831543	-0.001107128	-0.004672559	-0.006757901	0.001387787	4.53E-05	0.001731283
934.9401245	-0.000991749	-0.004076896	-0.006898308	0.001823711	0.000619712	0.001965094
934.0270386	-0.001769682	-0.004533685	-0.007424875	0.000887112	0.000180022	0.001775025
932.9829712	-0.001471348	-0.004142541	-0.006921187	0.000896579	0.000236429	0.001614736
931.9382935	-0.000958689	-0.003841214	-0.00664901	0.001660546	0.00061222	0.002206186
931.0237427	-0.001304297	-0.003595136	-0.006805558	0.001025128	0.000481953	0.001834707
929.9779663	-0.001513501	-0.003562068	-0.006869619	0.000794675	0.00026391	0.001319183
929.0625	-0.001617291	-0.002970689	-0.006719874	0.001217621	0.000342736	0.001698408
928.015686	-0.000976046	-0.00322591	-0.006954101	0.000575334	-0.000183389	0.001422925
926.9682617	-0.00084048	-0.002052507	-0.00604232	0.000920833	0.000312012	0.001700383
926.0513306	-0.000970519	-0.001817889	-0.006574667	0.000785988	4.15E-05	0.001781211
925.0028687	-0.001520775	-0.001461287	-0.00690804	0.000546123	-0.000143488	0.001198308
923.9538574	-0.001492141	-0.000404771	-0.006491845	0.000829298	0.000245546	0.001661507
923.0354614	-0.000776506	0.000255622	-0.006254766	0.000778908	0.000175542	0.002072579
921.9853516	-0.001376864	0.000349912	-0.006635907	-5.92E-05	-5.15E-05	0.001086109
920.9346924	-0.001973559	0.000884362	-0.00677146	-0.000111917	-0.000403892	0.001238155
